"","X","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","AssessmentKey","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Fmanagement","Bmanagement","RecruitmentAge","RecruitmentLength"
"61",61,2007,21189154,30041070,14945548,1120244,1305374,1521098,406482,406482,NA,0.182,0.223,0.274,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"62",62,2008,21987837,31392915,15400449,1188428,1379180,1600550,257870,257870,NA,0.118,0.143,0.174,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"63",63,2009,27840434,39103667,19821410,1469711,1709993,1989559,168443,168443,NA,0.067,0.083,0.104,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"64",64,2010,27453384,38658406,19496104,1524070,1785127,2090900,187611,187611,NA,0.072,0.088,0.108,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"65",65,2011,23582135,33057757,16822590,1829481,2107473,2427705,226478,226478,NA,0.095,0.115,0.14,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"66",66,2012,26062290,36558826,18579452,1983234,2287568,2638604,434710,434710,NA,0.148,0.18,0.219,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"67",67,2013,32056162,45926920,22374624,1778275,2047234,2356871,511416,511416,NA,0.177,0.215,0.262,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"68",68,2014,46688106,66560562,32748811,1701322,1963030,2264997,517356,517356,NA,0.184,0.223,0.271,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"69",69,2015,15775994,23864277,10429061,1575292,1835817,2139427,494099,494099,NA,0.191,0.239,0.298,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"70",70,2016,29532444,45590887,19130254,1804445,2178180,2629322,563610,563610,NA,0.195,0.257,0.337,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"71",71,2017,12127668,25966121,5664317,NA,2033511,NA,NA,NA,NA,NA,NA,NA,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
